r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
10.1,2170,9,1,0,2100,21,49,137697391.51000977,0.5998448219999911,1303,80144,2023-04-27T19:59:13.888945,0
-1,2180,10,0,0,2110,21,49,134717007.8754425,0.5331668333333238,1362,81506,2023-04-27T19:59:18.103924,0
-10.9,2190,9,0,1,2119,21,50,137558581.2330246,0.46651415266665797,1106,82612,2023-04-27T19:59:22.353831,0
-1,2200,10,0,0,2129,21,50,132440043.68782043,0.3998334999999905,1207,83819,2023-04-27T19:59:26.803974,0
-1,2210,10,0,0,2139,21,50,134544615.74554443,0.33316683333332386,1128,84947,2023-04-27T19:59:31.225736,0
-1,2220,10,0,0,2149,21,50,135471504.92668152,0.2665001666666572,935,85882,2023-04-27T19:59:36.149426,0
-1,2230,10,0,0,2159,21,50,131523259.87815857,0.19983350000000433,1058,86940,2023-04-27T19:59:40.868056,0
-1,2240,10,0,0,2169,21,50,135010244.846344,0.13316683333333768,1128,88068,2023-04-27T19:59:45.695988,0
-1,2250,10,0,0,2179,21,50,131721322.5364685,0.06650016666666408,760,88828,2023-04-27T19:59:50.445863,0
-1,2260,10,0,0,2189,21,50,132429492.4736023,0.01,826,89654,2023-04-27T19:59:55.195836,0
-1,2270,10,0,0,2199,21,50,129881665.70663452,0.01,892,90546,2023-04-27T20:00:00.510305,0
-1,2280,10,0,0,2209,21,50,128471044.89803314,0.01,937,91483,2023-04-27T20:00:05.275594,0
10.1,2290,9,1,0,2218,22,50,128723148.70357513,0.01,728,92211,2023-04-27T20:00:09.979027,0
-20.8,2300,8,0,2,2226,22,52,129406874.77588654,0.01,719,92930,2023-04-27T20:00:14.649452,0
-1,2310,10,0,0,2236,22,52,128610405.92193604,0.01,810,93740,2023-04-27T20:00:19.416656,0
-1,2320,10,0,0,2246,22,52,130948821.90227509,0.01,1060,94800,2023-04-27T20:00:24.635505,0
-1,2330,10,0,0,2256,22,52,127908672.0943451,0.01,717,95517,2023-04-27T20:00:29.981236,0
-1,2340,10,0,0,2266,22,52,129017989.03942108,0.01,767,96284,2023-04-27T20:00:34.793180,0
-1,2350,10,0,0,2276,22,52,126442762.61329651,0.01,702,96986,2023-04-27T20:00:39.624009,0
-1,2360,10,0,0,2286,22,52,129159666.8958664,0.01,774,97760,2023-04-27T20:00:44.686796,0
-1,2370,10,0,0,2296,22,52,127391787.76741028,0.01,914,98674,2023-04-27T20:00:49.699204,0
-1,2380,10,0,0,2306,22,52,126787465.81077576,0.01,783,99457,2023-04-27T20:00:54.483243,0
-1,2390,10,0,0,2316,22,52,126425496.93584442,0.01,779,80189,2023-04-27T20:00:59.234453,0
